city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Paris,48.8567,2.3522,France,FR,Île-de-France,primary,11060000,2148271
Marseille,43.2964,5.37,France,FR,Provence-Alpes-Côte d’Azur,admin,870731,870731
Lyon,45.76,4.84,France,FR,Auvergne-Rhône-Alpes,admin,522969,522969
Toulouse,43.6045,1.444,France,FR,Occitanie,admin,493465,493465
Nice,43.7034,7.2663,France,FR,Provence-Alpes-Côte d’Azur,minor,342669,342669
Nantes,47.2181,-1.5528,France,FR,Pays de la Loire,admin,318808,318808
Montpellier,43.6119,3.8772,France,FR,Occitanie,minor,295542,295542
Strasbourg,48.5833,7.7458,France,FR,Grand Est,admin,290576,290576
Bordeaux,44.84,-0.58,France,FR,Nouvelle-Aquitaine,admin,260958,260958
Lille,50.6278,3.0583,France,FR,Hauts-de-France,admin,234475,234475
Rennes,48.1147,-1.6794,France,FR,Bretagne,admin,220488,220488
Reims,49.2628,4.0347,France,FR,Grand Est,minor,182211,181194
Toulon,43.1258,5.9306,France,FR,Provence-Alpes-Côte d’Azur,minor,178745,178745
Saint-Étienne,45.4347,4.3903,France,FR,Auvergne-Rhône-Alpes,minor,173821,173821
Le Havre,49.49,0.1,France,FR,Normandie,minor,169733,168290
Grenoble,45.1715,5.7224,France,FR,Auvergne-Rhône-Alpes,minor,158198,158198
Dijon,47.3167,5.0167,France,FR,Bourgogne-Franche-Comté,admin,158002,158002
Angers,47.4736,-0.5542,France,FR,Pays de la Loire,minor,155850,155850
Villeurbanne,45.7667,4.8803,France,FR,Auvergne-Rhône-Alpes,,152212,152212
Nîmes,43.838,4.361,France,FR,Occitanie,minor,149633,148561
Clermont-Ferrand,45.7831,3.0824,France,FR,Auvergne-Rhône-Alpes,minor,147865,147865
Aix-en-Provence,43.5263,5.4454,France,FR,Provence-Alpes-Côte d’Azur,minor,145133,145133
Le Mans,48.0077,0.1984,France,FR,Pays de la Loire,minor,143847,143847
Brest,48.39,-4.49,France,FR,Bretagne,minor,139926,139926
Tours,47.3936,0.6892,France,FR,Centre-Val de Loire,minor,137087,137087
Amiens,49.892,2.299,France,FR,Hauts-de-France,minor,134706,134706
Limoges,45.8353,1.2625,France,FR,Nouvelle-Aquitaine,minor,131479,130876
Annecy,45.916,6.133,France,FR,Auvergne-Rhône-Alpes,minor,130721,130721
Boulogne-Billancourt,48.8352,2.2409,France,FR,Île-de-France,minor,121583,121583
Perpignan,42.6986,2.8956,France,FR,Occitanie,minor,119344,119344
Metz,49.1203,6.1778,France,FR,Grand Est,minor,118489,118489
Besançon,47.24,6.02,France,FR,Bourgogne-Franche-Comté,minor,118258,118258
Orléans,47.9025,1.909,France,FR,Centre-Val de Loire,admin,116269,116269
Saint-Denis,48.9356,2.3539,France,FR,Île-de-France,minor,112852,112852
Rouen,49.4428,1.0886,France,FR,Normandie,admin,112321,112321
Montreuil,48.8611,2.4436,France,FR,Île-de-France,,111240,111240
Argenteuil,48.95,2.25,France,FR,Île-de-France,minor,111038,111038
Mulhouse,47.75,7.34,France,FR,Grand Est,minor,108942,108312
Caen,49.18,-0.37,France,FR,Normandie,minor,106230,106230
Nancy,48.6936,6.1846,France,FR,Grand Est,minor,105058,105058
Roubaix,50.6901,3.1817,France,FR,Hauts-de-France,,98828,98828
Tourcoing,50.7239,3.1612,France,FR,Hauts-de-France,,98656,98656
Nanterre,48.8988,2.1969,France,FR,Île-de-France,minor,96807,96277
Vitry-sur-Seine,48.7875,2.3928,France,FR,Île-de-France,,95510,95510
Créteil,48.7911,2.4628,France,FR,Île-de-France,minor,93246,93246
Poitiers,46.58,0.34,France,FR,Nouvelle-Aquitaine,minor,89212,89212
Aubervilliers,48.9131,2.3831,France,FR,Île-de-France,,88948,88948
Aulnay-sous-Bois,48.9386,2.4906,France,FR,Île-de-France,,86969,86969
Dunkerque,51.0383,2.3775,France,FR,Hauts-de-France,minor,86865,86279
Colombes,48.9236,2.2522,France,FR,Île-de-France,,86534,86534
Versailles,48.8053,2.135,France,FR,Île-de-France,minor,85205,84808
Courbevoic,48.8978,2.2531,France,FR,Île-de-France,,82198,81558
Rueil-Malmaison,48.876,2.181,France,FR,Île-de-France,,78317,78317
La Rochelle,46.16,-1.15,France,FR,Nouvelle-Aquitaine,minor,77205,77205
Champigny-sur-Marne,48.8172,2.5156,France,FR,Île-de-France,,77039,76990
Pau,43.3,-0.37,France,FR,Nouvelle-Aquitaine,minor,76275,75627
Saint-Maur-des-Fossés,48.7994,2.4997,France,FR,Île-de-France,,75298,74976
Cannes,43.5513,7.0128,France,FR,Provence-Alpes-Côte d’Azur,,74545,74545
Antibes,43.5808,7.1239,France,FR,Provence-Alpes-Côte d’Azur,,73438,73438
Calais,50.9481,1.8564,France,FR,Hauts-de-France,minor,72929,72509
Drancy,48.93,2.45,France,FR,Île-de-France,,72376,72376
Mérignac,44.8386,-0.6436,France,FR,Nouvelle-Aquitaine,,72197,72197
Saint-Nazaire,47.2736,-2.2139,France,FR,Pays de la Loire,minor,71394,71394
Ajaccio,41.9267,8.7369,France,FR,Corsica,admin,71361,71361
Issy-les-Moulineaux,48.8239,2.27,France,FR,Île-de-France,,68260,67981
Noisy-le-Grand,48.8478,2.5528,France,FR,Île-de-France,,68126,67871
Vénissieux,45.6978,4.8867,France,FR,Auvergne-Rhône-Alpes,,67285,67285
Cergy,49.0361,2.0631,France,FR,Île-de-France,minor,66322,65911
Levallois-Perret,48.895,2.2872,France,FR,Île-de-France,,66082,66082
Pessac,44.8067,-0.6311,France,FR,Nouvelle-Aquitaine,,65245,65245
Valence,44.9333,4.8917,France,FR,Auvergne-Rhône-Alpes,minor,64749,64749
Ivry-sur-Seine,48.8078,2.3747,France,FR,Île-de-France,,63748,63748
Clichy,48.9044,2.3064,France,FR,Île-de-France,,63089,63089
La Seyne-sur-Mer,43.1,5.883,France,FR,Provence-Alpes-Côte d’Azur,,62987,62987
Antony,48.7539,2.2975,France,FR,Île-de-France,minor,62858,62760
Troyes,48.2997,4.0792,France,FR,Grand Est,minor,61996,61957
Cherbourg,49.6333,-1.6,France,FR,Normandie,minor,60991,25370
Neuilly-sur-Seine,48.8881,2.2686,France,FR,Île-de-France,,59940,59599
Pantin,48.8966,2.4017,France,FR,Île-de-France,,59846,59846
Sarcelles,48.9956,2.3808,France,FR,Île-de-France,minor,59196,59196
Chambéry,45.57,5.9118,France,FR,Auvergne-Rhône-Alpes,minor,58917,58917
Bellevue,48.871,2.385,France,FR,Île-de-France,,57699,57699
Le Blanc-Mesnil,48.9387,2.4614,France,FR,Île-de-France,,57498,57498
Lorient,47.75,-3.36,France,FR,Bretagne,minor,57246,57246
Beauvais,49.4303,2.0952,France,FR,Hauts-de-France,minor,57071,57071
Maisons-Alfort,48.8058,2.4378,France,FR,Île-de-France,,56483,56483
Meaux,48.9603,2.8883,France,FR,Île-de-France,minor,55750,55750
Villejuif,48.7919,2.3636,France,FR,Île-de-France,,55208,55208
Chelles,48.8833,2.6,France,FR,Île-de-France,,55154,55154
Épinay-sur-Seine,48.9553,2.3092,France,FR,Île-de-France,,54771,54611
Bondy,48.9022,2.4828,France,FR,Île-de-France,,54587,54587
Bobigny,48.9106,2.4397,France,FR,Île-de-France,minor,54363,54363
Saint-Quentin,49.8486,3.2864,France,FR,Hauts-de-France,minor,53856,53570
Vannes,47.6559,-2.7603,France,FR,Bretagne,minor,53719,53719
Évry,48.6239,2.4294,France,FR,Île-de-France,minor,53641,53641
Clamart,48.8014,2.2628,France,FR,Île-de-France,,52926,52925
Vaulx-en-Velin,45.7768,4.9186,France,FR,Auvergne-Rhône-Alpes,,52795,52795
Sartrouville,48.9372,2.1644,France,FR,Île-de-France,,52774,52774
Fontenay-sous-Bois,48.8517,2.4772,France,FR,Île-de-France,,52256,52008
Cagnes-sur-Mer,43.6644,7.1489,France,FR,Provence-Alpes-Côte d’Azur,,52178,52178
Bayonne,43.49,-1.48,France,FR,Nouvelle-Aquitaine,minor,51894,51894
Sevran,48.9333,2.5333,France,FR,Île-de-France,,51734,51734
Corbeil-Essonnes,48.6139,2.482,France,FR,Île-de-France,,51234,51234
Saint-Ouen,48.9123,2.3342,France,FR,Île-de-France,,50697,50697
Massy,48.7309,2.2713,France,FR,Île-de-France,,50644,50644
Vincennes,48.8478,2.4392,France,FR,Île-de-France,,49788,49788
Laval,48.0733,-0.7689,France,FR,Pays de la Loire,minor,49733,49733
Suresnes,48.87,2.22,France,FR,Île-de-France,,49311,49311
Montrouge,48.8172,2.3219,France,FR,Île-de-France,,48734,48352
Gennevilliers,48.9333,2.3,France,FR,Île-de-France,,48530,48530
Bastia,42.7008,9.4503,France,FR,Corsica,,48503,48503
Saint-Herblain,47.2122,-1.6497,France,FR,Pays de la Loire,,47415,47415
Belfort,47.64,6.85,France,FR,Bourgogne-Franche-Comté,minor,46954,46443
Saint-Priest,45.6972,4.9447,France,FR,Auvergne-Rhône-Alpes,,46927,46927
Évreux,49.02,1.15,France,FR,Normandie,minor,46707,46349
Charleville-Mézières,49.7719,4.7161,France,FR,Grand Est,minor,46436,46436
Choisy-le-Roi,48.763,2.409,France,FR,Île-de-France,,46154,46150
Rosny-sous-Bois,48.8667,2.4833,France,FR,Île-de-France,,46043,46024
Meudon,48.8123,2.2382,France,FR,Île-de-France,,45818,45818
Livry-Gargan,48.9192,2.5361,France,FR,Île-de-France,,45692,45692
Puteaux,48.885,2.2389,France,FR,Île-de-France,,45157,45157
Chalon-sur-Saône,46.7806,4.8528,France,FR,Bourgogne-Franche-Comté,minor,45056,45056
La Courneuve,48.9322,2.3967,France,FR,Île-de-France,,45053,45053
Alfortville,48.805,2.4239,France,FR,Île-de-France,,44805,44805
Noisy-le-Sec,48.8894,2.4503,France,FR,Île-de-France,,44463,44463
Châlons-en-Champagne,48.9575,4.365,France,FR,Grand Est,minor,44379,44379
Mantes-la-Jolie,48.9908,1.7172,France,FR,Île-de-France,minor,44227,43921
Saint-Brieuc,48.5136,-2.7653,France,FR,Bretagne,minor,44170,43605
Sète,43.4053,3.6975,France,FR,Occitanie,,43858,43858
Talence,44.8,-0.584,France,FR,Nouvelle-Aquitaine,,43820,43820
Châteauroux,46.8103,1.6911,France,FR,Centre-Val de Loire,minor,43442,43122
Valenciennes,50.3581,3.5233,France,FR,Hauts-de-France,minor,43405,43229
Caluire-et-Cuire,45.7953,4.8472,France,FR,Auvergne-Rhône-Alpes,,43294,43294
Garges-lès-Gonesse,48.9728,2.4008,France,FR,Île-de-France,,43239,43239
Rezé,47.1917,-1.5694,France,FR,Pays de la Loire,,42919,42919
Tarbes,43.23,0.07,France,FR,Occitanie,minor,42758,42758
Bron,45.7394,4.9139,France,FR,Auvergne-Rhône-Alpes,,42244,42244
Le Cannet,43.5769,7.0194,France,FR,Provence-Alpes-Côte d’Azur,,41887,41887
Alès,44.1281,4.0817,France,FR,Occitanie,minor,41837,41837
Angoulême,45.65,0.16,France,FR,Nouvelle-Aquitaine,minor,41711,41603
Arras,50.292,2.78,France,FR,Hauts-de-France,minor,41694,41694
Bourg-en-Bresse,46.2056,5.2289,France,FR,Auvergne-Rhône-Alpes,minor,41248,41111
Bagneux,48.7983,2.3137,France,FR,Île-de-France,,40936,40936
Wattrelos,50.7,3.217,France,FR,Hauts-de-France,,40898,40898
Melun,48.5406,2.66,France,FR,Île-de-France,minor,40844,40844
Boulogne-sur-Mer,50.7264,1.6147,France,FR,Hauts-de-France,minor,40664,40251
Colomiers,43.6139,1.3367,France,FR,Occitanie,,39968,39968
Anglet,43.485,-1.5183,France,FR,Nouvelle-Aquitaine,,39719,39719
Gagny,48.8833,2.5333,France,FR,Île-de-France,,39661,39661
Douai,50.3714,3.08,France,FR,Hauts-de-France,minor,39634,39613
Poissy,48.9294,2.0456,France,FR,Île-de-France,,39187,39187
Stains,48.95,2.3833,France,FR,Île-de-France,,38666,38285
